0.5,0.551896,0.602685,0.651355,0.697059,0.739171,0.777299,0.811277,0.84113,0.867035,0.889272,0.908184,0.924141,0.937516,0.948663,0.957911,0.965554,0.97185,0.977022,0.981262,0.984732,0.987568,0.989882,0.991769,0.993307,
0.5,0.541118,0.580708,0.618205,0.653171,0.685304,0.714443,0.740547,0.76368,0.783982,0.80165,0.816912,0.830013,0.841197,0.8507,0.858742,0.865526,0.871231,0.876019,0.880028,0.88338,0.886178,0.888511,0.890454,0.892072,
0.5,0.530543,0.559472,0.586545,0.611597,0.634538,0.655347,0.674057,0.690752,0.705543,0.718568,0.729975,0.739918,0.748548,0.756012,0.762448,0.767982,0.77273,0.776795,0.78027,0.783235,0.785763,0.787916,0.789747,0.791304,
0.5,0.520167,0.538956,0.556324,0.572263,0.586793,0.59996,0.611825,0.622465,0.631964,0.64041,0.647894,0.654505,0.660329,0.665447,0.669934,0.673862,0.677293,0.680288,0.682898,0.685169,0.687145,0.688861,0.690352,0.691646,
0.5,0.509988,0.519139,0.527492,0.53509,0.54198,0.548209,0.553826,0.55888,0.563417,0.567483,0.57112,0.574368,0.577266,0.579847,0.582145,0.584188,0.586002,0.587613,0.589042,0.590309,0.591431,0.592425,0.593306,0.594084,
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.5,0.490201,0.48152,0.473799,0.466911,0.460749,0.455221,0.450251,0.445774,0.441732,0.438078,0.434768,0.431768,0.429043,0.426567,0.424314,0.422261,0.420391,0.418684,0.417126,0.415703,0.414403,0.413213,0.412124,0.411128,
0.5,0.480588,0.463678,0.448841,0.435743,0.424116,0.413745,0.404454,0.396098,0.388557,0.38173,0.375532,0.369889,0.364741,0.360034,0.355721,0.351763,0.348123,0.344773,0.341683,0.338831,0.336194,0.333755,0.331495,0.3294,
0.5,0.471158,0.446455,0.425078,0.406413,0.389987,0.375432,0.362457,0.350827,0.340352,0.330876,0.32227,0.314425,0.307251,0.300671,0.294619,0.289038,0.283881,0.279104,0.27467,0.270548,0.266708,0.263127,0.25978,0.25665,
0.5,0.461906,0.429833,0.402464,0.378839,0.358243,0.340133,0.324088,0.309775,0.296933,0.285347,0.274844,0.265281,0.256539,0.248518,0.241134,0.234316,0.228002,0.222139,0.216683,0.211592,0.206833,0.202376,0.198192,0.19426,
